Name,OAID#link#multi,Affiliation#sortquan,City#sortquan,Region#sortquan,Country#sortquan,Latitude#hidden,Longitude#hidden,Collaborators#multi#link#sortquan,Scope#multi#sortquan,Number of Collaborators#number,OA concepts#multi#sortquan,Publications#hidden,Citedness#number,H Index#number,Publication Dates#multi#sortquan,Relevant Publications#number,#img,#netvis
A. J. Martin,https://openalex.org/A4357044482,Queen Mary University of London,London,,United Kingdom,51.52428,-0.040395,https://openalex.org/A1980934353|https://openalex.org/A2420022768|https://openalex.org/A3149415077|https://openalex.org/A4336693235|https://openalex.org/A4354463369|https://openalex.org/A4351435204|https://openalex.org/A2260522322|https://openalex.org/A2641484545|https://openalex.org/A4357834552|https://openalex.org/A4346778779|https://openalex.org/A4358336685|https://openalex.org/A2764421996|https://openalex.org/A4349843714|https://openalex.org/A2657946235|https://openalex.org/A2313911395|https://openalex.org/A4340032547|https://openalex.org/A2627156756,aqueducts && water,17,Roof|Compensation (psychology)|Geology|Environmental engineering|Water flow|Water supply|Political science|Geography|Water resource management|Hydrology (agriculture)|Psychology|Geotechnical engineering|Law|Legislation|Environmental science|Archaeology|Psychoanalysis,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4357044482"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",1.2857142857142858,80,1907,1,GB,bbcf9e9ccb3430c6d81588e6feb5139a273c12d5f33ffe2a2fe56a376166407b
A. Minello,https://openalex.org/A2755307307,University of Padua,Padova,Veneto,Italy,45.406387,11.877446,https://openalex.org/A2240738106|https://openalex.org/A505818893|https://openalex.org/A2112596963|https://openalex.org/A2761279273,aqueducts && water,4,Modal|Materials science|Modal analysis|Engineering|Structural engineering|Nanotechnology|Finite element method|Composite material|Characterization (materials science),"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2755307307"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,3,2017,1,IT,6af1ca93e3d8fbd8c83af94c8b2b148814fc8a8ab874a0fe8742ab247f694f70
A. Navarro,https://openalex.org/A4354319632,Tecnológico de Monterrey,Monterrey,,Mexico,25.65184,-100.28953,https://openalex.org/A1349947393|https://openalex.org/A4350641600|https://openalex.org/A4359653193,aqueducts && water,3,Leak|Artificial intelligence|Programming language|Pipeline (software)|Real-time computing|Leak detection|Engineering|Pipeline transport|Environmental engineering|Computer science|Noise (video)|Microbiology|Isolation (microbiology)|Artificial neural network|Image (mathematics)|Biology|Field-programmable gate array|Embedded system,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4354319632"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,4,2019,1,MX,b5f15541fbd451e5ef319f066373c83e32c8b41ee32bd364014148801ef2765b
A. P. Maddocks,https://openalex.org/A2462974748,Unknown,,,,,,https://openalex.org/A2646331407|https://openalex.org/A2152302202|https://openalex.org/A4351435204|https://openalex.org/A2628355558|https://openalex.org/A4353325735|https://openalex.org/A2159656500|https://openalex.org/A2183653964,aqueducts && water,7,Archaeology|Geography|Aqueduct,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2462974748"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,1,1921,1,un,2b2b1bff8cd90b056c63cbd221775d80df25831e383a4c96de1f9b1e73f948c7
A. Socci,https://openalex.org/A2632946213,Unknown,,,,,,https://openalex.org/A2937310257|https://openalex.org/A2936373189|https://openalex.org/A4348454001,aqueducts && water,3,Shield|Geology|Engineering|Petrology|Civil engineering,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2632946213"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,2,2019,1,un,59d5e07d29ab93da9b8c5814a11cac5f2453a3cda8e1cc9e6165f492a167e1ec
A. Sánchez Pérez,https://openalex.org/A4358671529,Hospital Universitario Miguel Servet,Zaragoza,,Spain,41.635834,-0.899722,https://openalex.org/A1511759604|https://openalex.org/A4355829019|https://openalex.org/A4359232002|https://openalex.org/A4353454457|https://openalex.org/A2889490394|https://openalex.org/A4353359358,aqueducts && water,6,Environmental engineering|Groundwater|Geography|Biology|Archaeology|Agriculture|Demography|Sociology|Geology|Microeconomics|Hydrology (agriculture)|Scarcity|Groundwater recharge|Aquifer|Water scarcity|Water use|Water resource management|Overexploitation|Sustainability|Population|Water supply|Geotechnical engineering|Ecology|Environmental science|Economics,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4358671529"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,8,2019,1,ES,4739759d500c55d3db1b771c6a4eee11463af83d9784d985d68599e388920c9b
A. Tacconi,https://openalex.org/A2633104882,Policlinico S.Orsola-Malpighi,Bologna,,Italy,44.492527,11.362128,https://openalex.org/A2096810484|https://openalex.org/A4343822246|https://openalex.org/A4353822788|https://openalex.org/A2245096816|https://openalex.org/A2406767230|https://openalex.org/A4342306891|https://openalex.org/A2601877227,aqueducts && water,7,Volcano|Paleontology|Geology|Karst|Geography|Mineral water|Hydrology (agriculture)|Physics|Geochemistry|Geotechnical engineering|Geomorphology|Environmental science|Quantum mechanics|Archaeology|Alluvium|Radon,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2633104882"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,7,1991,1,IT,15a2c505cb8f93da2a476b1a7252ddbfe39dd4447e006cbd32be81c28028dbfb
A. Trevor Hodge,https://openalex.org/A4338963123,Carleton University,Ottawa,Ontario,Canada,45.3831,-75.6976,https://openalex.org/A2630522661|https://openalex.org/A4347102795|https://openalex.org/A2260063835|https://openalex.org/A2592149878|https://openalex.org/A4337280887|https://openalex.org/A2000203771|https://openalex.org/A4351185263|https://openalex.org/A4355495213|https://openalex.org/A2168836109,aqueducts && water,9,Art|Cartography|Measure (data warehouse)|Geometry|Aqueduct|Environmental engineering|Geography|Flume|Computer science|Physics|Biology|Geomorphology|Database|Suspect|Archaeology|Philosophy|Geology|World Wide Web|Hydrology (agriculture)|Simple (philosophy)|History|Power (physics)|Field (mathematics)|Programming language|Drainage basin|Reliability (semiconductor)|Pure mathematics|Water resource management|Art history|Law|Aerospace engineering|Hydraulics|Business|Flow (mathematics)|Drainage system (geomorphology)|Water supply|Engineering|Political science|Set (abstract data type)|Drainage|Epistemology|Geotechnical engineering|Head (geology)|Ecology|Download|Environmental science|Quantum mechanics|Mathematics,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4338963123"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,10,1984|1991|1992|1994|1995|2001|2013,9,CA,638bf5d429031ff032322604fdae3da03a73584dcc7a02547eb39e7d818997af
A.E. Owen,https://openalex.org/A4359264443,University of Edinburgh,Edinburgh,,United Kingdom,55.944897,-3.189284,https://openalex.org/A4354251676|https://openalex.org/A2279493338|https://openalex.org/A2641213819|https://openalex.org/A4354354539|https://openalex.org/A4348697317|https://openalex.org/A4352627309|https://openalex.org/A2276372934|https://openalex.org/A4355887507|https://openalex.org/A4266311419|https://openalex.org/A2668246551|https://openalex.org/A2556865444|https://openalex.org/A4359735296|https://openalex.org/A4359615512|https://openalex.org/A4355619349|https://openalex.org/A2336963089|https://openalex.org/A2764468176,aqueducts && water,16,Hydroelectricity|Environmental engineering|Petroleum engineering|Engineering|Pipeline transport|Electrical engineering|Environmental science|Marine engineering,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4359264443"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",14,20,1962,1,GB,8a8c107533bc0ee1e404d700fa1678fb137bb25e21c8a80fea69e79ce53cb837
AC Jennings,https://openalex.org/A2700418087,Unknown,,,,,,https://openalex.org/A4334493318|https://openalex.org/A4341366154|https://openalex.org/A2639326053|https://openalex.org/A2579548827|https://openalex.org/A2423675094|https://openalex.org/A2466934636|https://openalex.org/A2764344154|https://openalex.org/A2627884716|https://openalex.org/A2629438255,aqueducts && water,9,Irrigation|Geology|Voltage|Environmental engineering|Cementation (geology)|Water supply|Engineering|Mains electricity|Electrical engineering|Water resource management|Hydrology (agriculture)|Geography|Biology|Ecology|Geotechnical engineering|Environmental science|Archaeology|Cement,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2700418087"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,11,1923,1,un,cda3ad5d2fbe530eb0cd3208b2bd3c86de49b7ff1254f70145c3670ce5cd600b
"AS Paintal,",https://openalex.org/A4372183296,United States Bureau of Reclamation,Washington D.C.,District of Columbia,United States,38.90163,-77.04124,https://openalex.org/A4372183295,aqueducts && water,1,Channel (broadcasting)|Hydraulic engineering|Telecommunications|Engineering|Thermodynamics|Hydrology (agriculture)|Hydraulic structure|Physics|Geotechnical engineering|Hydraulics|Civil engineering|Aerospace engineering,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4372183296"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,1,2003,1,US,a248eb9be51f7b8732cb9621d5697af32c0424792d66f3ff9517cc678ec04dfb
Abdelkader T. Ahmed,https://openalex.org/A2345166587,Aswan University,Aswān,,Egypt,23.9989,32.8599,https://openalex.org/A4343937734|https://openalex.org/A4337934485|https://openalex.org/A4354289622|https://openalex.org/A4355817836|https://openalex.org/A3097081530|https://openalex.org/A4350132063|https://openalex.org/A4353480819|https://openalex.org/A4339072450,aqueducts && water,8,Aqueduct|Environmental engineering|Groundwater|Natural (archaeology)|Geography|Thermodynamics|Physics|Biology|Civil engineering|Archaeology|Agriculture|Reuse|Water resource management|Water resources|Sustainability|Hydraulic engineering|Water supply|Engineering|Geotechnical engineering|Ecology|Sustainable development|Environmental science|Waste management|Environmental planning,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2345166587"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",1.7647058823529411,10,2016|2020,2,EG,d4ae4f3c50bd815a328e6d5b3f82248bfdc6f3579b30d2ef005558b7b1b9eec8
Abdul Shakor Borham,https://openalex.org/A4350446562,Tun Hussein Onn University of Malaysia,Batu Pahat,,Malaysia,1.858605,103.08553,https://openalex.org/A4353822007|https://openalex.org/A4357399520|https://openalex.org/A4348840067|https://openalex.org/A2504354622,aqueducts && water,4,Architecture|Philosophy|Archaeology|Islamic architecture|Political science|Geography|Linguistics|Ancient history|Civilization|Government (linguistics)|Law|Islam|Excellence|History,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4350446562"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,1,2018,1,MY,447243fc2c783932b52206c6965cdf6be51ba6c1fdb41da7aa11dfc5e3df6944
Abolfazl Akbarpour,https://openalex.org/A4355974647,University of Birjand,Birjand,,Iran,32.876667,59.218056,https://openalex.org/A3172232381|https://openalex.org/A2493542431|https://openalex.org/A4335683584,aqueducts && water,3,Environmental engineering|Groundwater|Computer science|Multi-objective optimization|Computer network|Water table|Philosophy|Linguistics|Aquifer|Environmental science|Pareto principle|Economic shortage|Mathematical optimization|Water resource management|Government (linguistics)|Water supply|Engineering|Operations research|Geotechnical engineering|Resource (disambiguation)|Mathematics,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4355974647"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0.4,5,2015,1,IR,9a1ab6130bcd3cd0bcd70446dc526bbce7ac703a28a5d83fedf1a5e6e1f2e9d5
Abrahana del Pilar Cisneros-Depestre,https://openalex.org/A2288569736,Unknown,,,,,,https://openalex.org/A2290657283|https://openalex.org/A2179222499,aqueducts && water,2,Mechanical engineering|Sociology|Medicine|Engineering|Business|Geography|Sanitation|Hygiene|Environmental health|Socioeconomics|Work (physics)|Community participation|Population|Pathology|Environmental planning,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A2288569736"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",0,0,2015,1,un,b79db48c0995bc4b1fe8189d94f0e83df5af0d39206e9079eb4bf0fd9eb615ae
Achilleas G. Samaras,https://openalex.org/A4341734923,Democritus University of Thrace,Komotini,,Greece,41.142853,24.889374,https://openalex.org/A4349096999|https://openalex.org/A4345949816|https://openalex.org/A4358810622|https://openalex.org/A2288633999,aqueducts && water,4,Mechanical engineering|Environmental engineering|Water supply|Engineering|Conurbation|Geography|Computer science|Water resource management|Work (physics)|Civil engineering|Environmental science|Archaeology,"<a href='#' onClick='javascript:getPublication({""oaids"": ""https://openalex.org/A4341734923"", ""search"": [""Scope""], ""OAConcepts"": ""OA concepts"", ""synonyms"": {""Scope"": {}}, ""relax_match"": false})'>Show publications</a>",3,3,2020,1,GR,60698a88f6bd22bcced83fabb4be0e44084d398de379d89710b0a6cff89da4b1
